[SKIP] Library/reference/facts/cleaned_chapters/book_0001 -> /root/private_data/LiteraryGiant/Library/reference/facts/chapter_features/book_0001 (feature-index)
[SKIP] Library/reference/facts/cleaned_chapters/book_0002 -> /root/private_data/LiteraryGiant/Library/reference/facts/chapter_features/book_0002 (feature-index)
[CHAPTER-SKIP] 0003 330/4226 -> chapter_0330.json (output)
[CHAPTER-SKIP] 0003 331/4226 -> chapter_0331.json (output)
[CHAPTER-SKIP] 0003 332/4226 -> chapter_0332.json (output)
[CHAPTER-SKIP] 0003 333/4226 -> chapter_0333.json (output)
[CHAPTER-SKIP] 0003 334/4226 -> chapter_0334.json (output)
[CHAPTER-SKIP] 0003 335/4226 -> chapter_0335.json (output)
[CHAPTER-SKIP] 0003 336/4226 -> chapter_0336.json (output)
[CHAPTER-SKIP] 0003 337/4226 -> chapter_0337.json (output)
[CHAPTER-SKIP] 0003 338/4226 -> chapter_0338.json (output)
[CHAPTER-SKIP] 0003 339/4226 -> chapter_0339.json (output)
[CHAPTER-SKIP] 0003 340/4226 -> chapter_0340.json (output)
[CHAPTER-SKIP] 0003 341/4226 -> chapter_0341.json (output)
[CHAPTER-SKIP] 0003 342/4226 -> chapter_0342.json (output)
[CHAPTER-SKIP] 0003 343/4226 -> chapter_0343.json (output)
[CHAPTER-SKIP] 0003 344/4226 -> chapter_0344.json (output)
[CHAPTER-SKIP] 0003 345/4226 -> chapter_0345.json (output)
[CHAPTER-SKIP] 0003 346/4226 -> chapter_0346.json (output)
[CHAPTER-SKIP] 0003 347/4226 -> chapter_0347.json (output)
[CHAPTER-SKIP] 0003 348/4226 -> chapter_0348.json (output)
[CHAPTER-SKIP] 0003 349/4226 -> chapter_0349.json (output)
[CHAPTER-SKIP] 0003 350/4226 -> chapter_0350.json (output)
[CHAPTER-SKIP] 0003 351/4226 -> chapter_0351.json (output)
[CHAPTER-SKIP] 0003 352/4226 -> chapter_0352.json (output)
[CHAPTER-SKIP] 0003 353/4226 -> chapter_0353.json (output)
[CHAPTER-SKIP] 0003 354/4226 -> chapter_0354.json (output)
[CHAPTER-SKIP] 0003 355/4226 -> chapter_0355.json (output)
[CHAPTER-SKIP] 0003 356/4226 -> chapter_0356.json (output)
[CHAPTER-SKIP] 0003 357/4226 -> chapter_0357.json (output)
[CHAPTER-SKIP] 0003 358/4226 -> chapter_0358.json (output)
[CHAPTER-SKIP] 0003 359/4226 -> chapter_0359.json (output)
[CHAPTER-SKIP] 0003 360/4226 -> chapter_0360.json (output)
[CHAPTER-SKIP] 0003 361/4226 -> chapter_0361.json (output)
[CHAPTER-SKIP] 0003 362/4226 -> chapter_0362.json (output)
[CHAPTER-SKIP] 0003 363/4226 -> chapter_0363.json (output)
[CHAPTER-SKIP] 0003 364/4226 -> chapter_0364.json (output)
[CHAPTER-SKIP] 0003 365/4226 -> chapter_0365.json (output)
[CHAPTER-SKIP] 0003 366/4226 -> chapter_0366.json (output)
[CHAPTER-SKIP] 0003 367/4226 -> chapter_0367.json (output)
[CHAPTER-SKIP] 0003 368/4226 -> chapter_0368.json (output)
[CHAPTER-SKIP] 0003 369/4226 -> chapter_0369.json (output)
[CHAPTER-SKIP] 0003 370/4226 -> chapter_0370.json (output)
[CHAPTER-SKIP] 0003 371/4226 -> chapter_0371.json (output)
[CHAPTER-SKIP] 0003 372/4226 -> chapter_0372.json (output)
